n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
1,14.134725141734695,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
2,21.022039638771556,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
3,25.01085758014569,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
4,30.424876125859512,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
5,32.93506158773919,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
6,37.586178158825675,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
7,40.9187190121475,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
8,43.327073280915,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
9,48.00515088116716,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
10,49.7738324776723,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
11,52.970321477714464,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
12,56.44624769706339,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
13,59.34704400260235,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
14,60.83177852460981,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
15,65.1125440480816,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
16,67.07981052949417,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
17,69.54640171117398,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
18,72.0671576744819,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
19,75.70469069908393,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
20,77.1448400688748,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
21,79.33737502024937,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
22,82.91038085408603,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
23,84.73549298051705,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
24,87.42527461312523,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
25,88.80911120763446,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
26,92.49189927055849,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
27,94.65134404051989,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
28,95.87063422824531,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
29,98.83119421819369,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
30,101.31785100573138,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
31,103.72553804047834,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
32,105.44662305232609,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
33,107.1686111842764,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
34,111.02953554316967,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
35,111.87465917699264,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
36,114.32022091545271,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
37,116.22668032085755,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
38,118.79078286597621,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
39,121.37012500242065,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
40,122.94682929355258,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
41,124.25681855434577,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
42,127.5166838795965,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
43,129.57870419995606,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
44,131.08768853093267,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
45,133.4977372029976,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
46,134.75650975337388,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
47,138.11604205453344,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
48,139.7362089521214,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
49,141.12370740402113,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
50,143.11184580762063,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
51,146.0009824867655,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
52,147.42276534255961,300.0,v4,illinois_mpfr_C_hybride,0.05,20260527_230906
