n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
1,14.134725141734695,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
2,21.02203963877176,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
3,25.01085758014569,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
4,30.424876125859516,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
5,32.935061587739185,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
6,37.586178158825675,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
7,40.91871901214749,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
8,43.327073280914995,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
9,48.00515088116717,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
10,49.7738324776723,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
11,52.97032147771446,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
12,56.4462476970634,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
13,59.34704400260236,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
14,60.83177852460976,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
15,65.11254404808162,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
16,67.07981052949417,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
17,69.54640171117398,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
18,72.0671576744819,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
19,75.70469069908397,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
20,77.1448400688748,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
21,79.33737502024937,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
22,82.91038085408604,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
23,84.73549298051705,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
24,87.42527461312523,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
25,88.80911120763434,10000.0,RS-detection + Illinois-affinage,0.02,4,True,20260521_133316
