n,partie_imaginaire,T_MAX,methode,n_workers,turing_complet,calcule_le
78,196.87648184095832,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
79,198.01530967625192,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
80,201.26475194370377,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
81,202.49359451414054,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
82,204.18967180310455,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
83,205.3946972021633,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
84,207.9062588878062,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
85,209.57650971685626,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
86,211.6908625953653,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
87,213.34791935971265,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
88,214.54704478349143,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
89,216.16953850826349,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
90,219.06759634902147,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
91,220.714918839314,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
92,221.43070555469333,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
93,224.00700025460432,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
94,224.9833246695823,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
95,227.4214442796793,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
96,229.33741330552536,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
97,231.25018870049917,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
98,231.98723525318024,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
99,233.6934041789083,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
100,236.52422966581622,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
101,237.7698204809252,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
102,239.5554775733277,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
103,241.04915779621658,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
104,242.82327193422262,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
105,244.07089849707816,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
106,247.1369900748975,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
107,248.10199006014847,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
108,249.5736896447072,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
109,251.01494779501581,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
110,253.06998674799948,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
111,255.30625645491403,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
112,256.38071369443446,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
113,258.6104394915315,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
114,259.874406989678,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
115,260.8050845045969,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
116,263.57389390487015,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
117,265.55785183887633,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
118,266.6149737815011,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
119,267.92191508282406,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
120,269.9704490239976,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
121,271.49405564164493,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
122,273.4596091884033,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
123,275.58749264934386,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
124,276.45204950313297,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
125,278.25074352984194,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
126,279.22925092774517,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
127,282.4651147650521,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
128,283.2111857332339,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
129,284.8359639809047,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
130,286.66744536300286,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
131,287.9119205014222,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
132,289.5798549292188,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
133,291.84629132906736,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
134,293.5584341393563,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
135,294.9653696192656,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
136,295.5732548789583,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
137,297.9792770619434,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
138,299.8403260537213,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
139,301.6493254621942,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
140,302.6967495896069,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
141,304.8643713408573,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
142,305.7289126020368,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
143,307.2194961281701,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
144,310.1094631467019,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
145,311.16514153035604,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
146,312.42780118060085,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
147,313.98528573115874,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
148,315.47561608947575,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
149,317.73480594237014,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
150,318.8531042563166,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
151,321.1601343091136,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
152,322.1445586724829,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
153,323.4669695575121,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
154,324.8628660517396,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
155,327.44390126190547,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
156,329.03307168048093,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
157,329.9532397282338,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
158,331.4744675826634,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
159,333.64537852486984,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
160,334.21135483324423,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
161,336.84185042839067,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
162,338.3399928508066,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
163,339.85821672536355,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
164,341.04226111104657,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
165,342.0548775103636,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
166,344.6617029402523,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
167,346.3478705660101,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
168,347.2726775844205,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
169,349.31626087069617,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
170,350.4084193491921,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
171,351.87864902535927,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
172,353.48890048871885,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
173,356.017574977265,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
