n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
1,21.022039638771552,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
2,25.01085758014569,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
3,30.424876125859512,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
4,32.935061587739106,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
5,37.586178158825675,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
6,40.91871901214749,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
7,43.327073280915,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
8,48.00515088116739,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
9,49.7738324776723,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
10,52.97032147771446,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
11,56.44624769706342,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
12,59.347044002602544,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
13,60.83177852460974,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
14,65.1125440480816,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
15,67.07981052949417,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
16,69.54640171117397,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
17,72.0671576744819,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
18,75.70469069908393,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
19,77.1448400688748,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
20,79.33737502024937,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
21,82.91038085408603,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
22,84.73549298051705,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
23,87.42527461312523,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
24,88.80911120763423,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
25,92.49189927055849,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
26,94.65134404051989,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
27,95.87063422824531,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
28,98.8311942181937,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
29,101.31785100573138,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
30,103.72553804047834,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
31,105.44662305232609,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
32,107.16861118427612,10000.0,RS-detection + Illinois-affinage,4,35,20260517_001316
