n,partie_imaginaire,sauvegarde_le
108,249.57368964470723,2026-04-25T17:52:09.588267
109,251.01494779501598,2026-04-25T17:52:09.588267
110,253.06998674799945,2026-04-25T17:52:09.588267
111,255.306256454914,2026-04-25T17:52:09.588267
112,256.3807136944345,2026-04-25T17:52:09.588267
113,258.61043949153134,2026-04-25T17:52:09.588267
114,259.87440698967805,2026-04-25T17:52:09.588267
115,260.8050845045969,2026-04-25T17:52:09.588267
116,263.5738939048701,2026-04-25T17:52:09.588267
117,265.55785183887633,2026-04-25T17:52:09.588267
118,266.6149737815011,2026-04-25T17:52:09.588267
119,267.92191508282406,2026-04-25T17:52:09.588267
120,269.97044902399756,2026-04-25T17:52:09.588267
121,271.494055641645,2026-04-25T17:52:09.588267
122,273.4596091884033,2026-04-25T17:52:09.588267
123,275.58749264934386,2026-04-25T17:52:09.588267
124,276.45204950313297,2026-04-25T17:52:09.588267
125,278.25074352984194,2026-04-25T17:52:09.588267
126,279.2292509277452,2026-04-25T17:52:09.588267
127,282.46511476505214,2026-04-25T17:52:09.588267
128,283.21118573323383,2026-04-25T17:52:09.588267
129,284.83596398090475,2026-04-25T17:52:09.588267
130,286.6674453630029,2026-04-25T17:52:09.588267
131,287.9119205014222,2026-04-25T17:52:09.588267
132,289.57985492921887,2026-04-25T17:52:09.588267
133,291.84629132906736,2026-04-25T17:52:09.588267
134,293.55843413935634,2026-04-25T17:52:09.588267
135,294.9653696192656,2026-04-25T17:52:09.588267
136,295.5732548789583,2026-04-25T17:52:09.588267
137,297.97927706194344,2026-04-25T17:52:09.588267
138,299.84032605372136,2026-04-25T17:52:09.588267
139,301.64932546219416,2026-04-25T17:52:09.588267
140,302.69674958960695,2026-04-25T17:52:09.588267
141,304.8643713408573,2026-04-25T17:52:09.588267
142,305.7289126020368,2026-04-25T17:52:09.588267
143,307.21949612817,2026-04-25T17:52:09.588267
144,310.1094631467019,2026-04-25T17:52:09.588267
145,311.165141530356,2026-04-25T17:52:09.588267
146,312.42780118060085,2026-04-25T17:52:09.588267
147,313.98528573115897,2026-04-25T17:52:09.588267
148,315.47561608947575,2026-04-25T17:52:09.588267
149,317.73480594237014,2026-04-25T17:52:09.588267
150,318.8531042563166,2026-04-25T17:52:09.588267
151,321.16013430911363,2026-04-25T17:52:09.588267
152,322.1445586724829,2026-04-25T17:52:09.588267
153,323.4669695575121,2026-04-25T17:52:09.588267
154,324.86286605173956,2026-04-25T17:52:09.588267
155,327.4439012619054,2026-04-25T17:52:09.588267
156,329.033071680481,2026-04-25T17:52:09.588267
157,329.9532397282339,2026-04-25T17:52:09.588267
158,331.47446758266346,2026-04-25T17:52:09.588267
159,333.64537852486984,2026-04-25T17:52:09.588267
160,334.21135483324434,2026-04-25T17:52:09.588267
161,336.84185042839067,2026-04-25T17:52:09.588267
162,338.3399928508066,2026-04-25T17:52:09.588267
163,339.85821672536355,2026-04-25T17:52:09.588267
164,341.0422611110465,2026-04-25T17:52:09.588267
165,342.0548775103636,2026-04-25T17:52:09.588267
166,344.6617029402524,2026-04-25T17:52:09.588267
167,346.34787056600993,2026-04-25T17:52:09.588267
168,347.27267758442053,2026-04-25T17:52:09.588267
169,349.31626087069617,2026-04-25T17:52:09.588267
170,350.4084193491921,2026-04-25T17:52:09.588267
171,351.8786490253593,2026-04-25T17:52:09.588267
172,353.4889004887188,2026-04-25T17:52:09.588267
173,356.0175749772649,2026-04-25T17:52:09.588267
174,357.1513022520396,2026-04-25T17:52:09.588267
175,357.9526851016323,2026-04-25T17:52:09.588267
176,359.74375495311443,2026-04-25T17:52:09.588267
177,361.28936169580464,2026-04-25T17:52:09.588267
178,363.3313305789738,2026-04-25T17:52:09.588267
179,364.736024114089,2026-04-25T17:52:09.588267
180,366.2127102883313,2026-04-25T17:52:09.588267
181,367.99357548174027,2026-04-25T17:52:09.588267
182,368.96843809573437,2026-04-25T17:52:09.588267
183,370.050919212106,2026-04-25T17:52:09.588267
184,373.06192837211285,2026-04-25T17:52:09.588267
185,373.86487391090856,2026-04-25T17:52:09.588267
186,375.82591276673935,2026-04-25T17:52:09.588267
187,376.3240922306681,2026-04-25T17:52:09.588267
188,378.4366802499655,2026-04-25T17:52:09.588267
189,379.87297534653237,2026-04-25T17:52:09.588267
190,381.4844686171865,2026-04-25T17:52:09.588267
191,383.44352944953647,2026-04-25T17:52:09.588267
192,384.9561168148637,2026-04-25T17:52:09.588267
193,385.8613008459742,2026-04-25T17:52:09.588267
194,387.222890222388,2026-04-25T17:52:09.588267
195,388.84612835423223,2026-04-25T17:52:09.588267
196,391.456083563638,2026-04-25T17:52:09.588267
197,392.24508333951906,2026-04-25T17:52:09.588267
198,393.427743844434,2026-04-25T17:52:09.588267
199,395.5828700109937,2026-04-25T17:52:09.588267
200,396.3818542225922,2026-04-25T17:52:09.588267
201,397.9187362096142,2026-04-25T17:52:09.588267
202,399.9851198761949,2026-04-25T17:52:09.588267
203,401.83922860053326,2026-04-25T17:52:09.588267
204,402.8619177638861,2026-04-25T17:52:09.588267
205,404.23644180020796,2026-04-25T17:52:09.588267
206,405.1343874599099,2026-04-25T17:52:09.588267
207,407.5814603868962,2026-04-25T17:52:09.588267
208,408.94724550235117,2026-04-25T17:52:09.588267
209,410.5138691933666,2026-04-25T17:52:09.588267
210,411.9722678042787,2026-04-25T17:52:09.588267
211,413.26273607018504,2026-04-25T17:52:09.588267
212,415.01880975515513,2026-04-25T17:52:09.588267
213,415.4552149962946,2026-04-25T17:52:09.588267
214,418.3877057895348,2026-04-25T17:52:09.588267
215,419.8613648181523,2026-04-25T17:52:09.588267
216,420.64382762504175,2026-04-25T17:52:09.588267
217,422.07671005882673,2026-04-25T17:52:09.588267
218,423.71657962748185,2026-04-25T17:52:09.588267
219,425.06988249446135,2026-04-25T17:52:09.588267
220,427.2088250840746,2026-04-25T17:52:09.588267
221,428.12791407661666,2026-04-25T17:52:09.588267
222,430.3287454309386,2026-04-25T17:52:09.588267
223,431.30130693070356,2026-04-25T17:52:09.588267
224,432.1386417345886,2026-04-25T17:52:09.588267
225,433.8892184809272,2026-04-25T17:52:09.588267
226,436.16100643264696,2026-04-25T17:52:09.588267
227,437.5816981676686,2026-04-25T17:52:09.588267
228,438.6217386562722,2026-04-25T17:52:09.588267
229,439.9184422143706,2026-04-25T17:52:09.588267
230,441.68319920118904,2026-04-25T17:52:09.588267
231,442.9045463026095,2026-04-25T17:52:09.588267
232,444.31933627755916,2026-04-25T17:52:09.588267
233,446.8606226964295,2026-04-25T17:52:09.588267
234,447.4417041944933,2026-04-25T17:52:09.588267
235,449.14854568502335,2026-04-25T17:52:09.588267
236,450.1269457803136,2026-04-25T17:52:09.588267
237,451.40330844538875,2026-04-25T17:52:09.588267
238,453.9867378066779,2026-04-25T17:52:09.588267
239,454.9746837686168,2026-04-25T17:52:09.588267
240,456.3284266892461,2026-04-25T17:52:09.588267
241,457.90389306410293,2026-04-25T17:52:09.588267
242,459.513415281106,2026-04-25T17:52:09.588267
243,460.0879444221759,2026-04-25T17:52:09.588267
244,462.0653672748825,2026-04-25T17:52:09.588267
245,464.0572869105483,2026-04-25T17:52:09.588267
246,465.6715392113711,2026-04-25T17:52:09.588267
247,466.5702869308262,2026-04-25T17:52:09.588267
248,467.43904621026167,2026-04-25T17:52:09.588267
249,469.53600455911203,2026-04-25T17:52:09.588267
250,470.7736554781016,2026-04-25T17:52:09.588267
251,472.7991746619088,2026-04-25T17:52:09.588267
252,473.8352323451397,2026-04-25T17:52:09.588267
253,475.6003393693758,2026-04-25T17:52:09.588267
254,476.76901523748455,2026-04-25T17:52:09.588267
255,478.07526376667096,2026-04-25T17:52:09.588267
256,478.94218153463487,2026-04-25T17:52:09.588267
257,481.8303393762866,2026-04-25T17:52:09.588267
258,482.8347827909824,2026-04-25T17:52:09.588267
259,483.8514272124825,2026-04-25T17:52:09.588267
260,485.539148129356,2026-04-25T17:52:09.588267
261,486.52871826165125,2026-04-25T17:52:09.588267
262,488.38056709001745,2026-04-25T17:52:09.588267
263,489.66176157795616,2026-04-25T17:52:09.588267
264,491.398821593663,2026-04-25T17:52:09.588267
265,493.3144415817853,2026-04-25T17:52:09.588267
266,493.9579978053694,2026-04-25T17:52:09.588267
267,495.35882882213133,2026-04-25T17:52:09.588267
268,496.42969621575907,2026-04-25T17:52:09.588267
269,498.58078242968656,2026-04-25T17:52:09.588267
270,500.3090849416905,2026-04-25T17:52:09.588267
271,501.6044469651454,2026-04-25T17:52:09.588267
272,502.2762703271182,2026-04-25T17:52:09.588267
273,504.4997733134277,2026-04-25T17:52:09.588267
274,505.4152317422445,2026-04-25T17:52:09.588267
275,506.4641527095235,2026-04-25T17:52:09.588267
276,508.8007003364678,2026-04-25T17:52:09.588267
277,510.2642279436728,2026-04-25T17:52:09.588267
278,511.5622897003746,2026-04-25T17:52:09.588267
279,512.6231445314073,2026-04-25T17:52:09.588267
280,513.6689855554738,2026-04-25T17:52:09.588267
281,515.4350571672994,2026-04-25T17:52:09.588267
282,517.5896685724675,2026-04-25T17:52:09.588267
283,518.2342231475501,2026-04-25T17:52:09.588267
284,520.1063104117231,2026-04-25T17:52:09.588267
285,521.525193449492,2026-04-25T17:52:09.588267
286,522.4566961777302,2026-04-25T17:52:09.588267
287,523.9605308920159,2026-04-25T17:52:09.588267
288,525.0773856872796,2026-04-25T17:52:09.588267
