n,partie_imaginaire,T_MAX,methode,precision_dps,calcule_le
86,211.69086259536533,10000.0,Hardy-Z + Illinois,50,20260424_205325
87,213.34791935971268,10000.0,Hardy-Z + Illinois,50,20260424_205325
88,214.54704478349143,10000.0,Hardy-Z + Illinois,50,20260424_205325
89,216.1695385082637,10000.0,Hardy-Z + Illinois,50,20260424_205325
90,219.0675963490214,10000.0,Hardy-Z + Illinois,50,20260424_205325
91,220.71491883931398,10000.0,Hardy-Z + Illinois,50,20260424_205325
92,221.43070555469333,10000.0,Hardy-Z + Illinois,50,20260424_205325
93,224.00700025460432,10000.0,Hardy-Z + Illinois,50,20260424_205325
94,224.98332466958226,10000.0,Hardy-Z + Illinois,50,20260424_205325
95,227.42144427967926,10000.0,Hardy-Z + Illinois,50,20260424_205325
96,229.33741330552536,10000.0,Hardy-Z + Illinois,50,20260424_205325
97,231.25018870049914,10000.0,Hardy-Z + Illinois,50,20260424_205325
98,231.98723525318027,10000.0,Hardy-Z + Illinois,50,20260424_205325
99,233.6934041789083,10000.0,Hardy-Z + Illinois,50,20260424_205325
100,236.52422966581622,10000.0,Hardy-Z + Illinois,50,20260424_205325
101,237.7698204809252,10000.0,Hardy-Z + Illinois,50,20260424_205325
102,239.5554775733276,10000.0,Hardy-Z + Illinois,50,20260424_205325
103,241.0491577962166,10000.0,Hardy-Z + Illinois,50,20260424_205325
104,242.8232719342226,10000.0,Hardy-Z + Illinois,50,20260424_205325
105,244.07089849707813,10000.0,Hardy-Z + Illinois,50,20260424_205325
106,247.13699007489748,10000.0,Hardy-Z + Illinois,50,20260424_205325
107,248.10199006014847,10000.0,Hardy-Z + Illinois,50,20260424_205325
108,249.57368964470723,10000.0,Hardy-Z + Illinois,50,20260424_205325
109,251.01494779501598,10000.0,Hardy-Z + Illinois,50,20260424_205325
110,253.06998674799945,10000.0,Hardy-Z + Illinois,50,20260424_205325
111,255.306256454914,10000.0,Hardy-Z + Illinois,50,20260424_205325
112,256.3807136944345,10000.0,Hardy-Z + Illinois,50,20260424_205325
113,258.61043949153134,10000.0,Hardy-Z + Illinois,50,20260424_205325
114,259.87440698967805,10000.0,Hardy-Z + Illinois,50,20260424_205325
115,260.8050845045969,10000.0,Hardy-Z + Illinois,50,20260424_205325
116,263.5738939048701,10000.0,Hardy-Z + Illinois,50,20260424_205325
117,265.55785183887633,10000.0,Hardy-Z + Illinois,50,20260424_205325
118,266.6149737815011,10000.0,Hardy-Z + Illinois,50,20260424_205325
119,267.92191508282406,10000.0,Hardy-Z + Illinois,50,20260424_205325
120,269.97044902399756,10000.0,Hardy-Z + Illinois,50,20260424_205325
121,271.494055641645,10000.0,Hardy-Z + Illinois,50,20260424_205325
122,273.4596091884033,10000.0,Hardy-Z + Illinois,50,20260424_205325
123,275.58749264934386,10000.0,Hardy-Z + Illinois,50,20260424_205325
124,276.45204950313297,10000.0,Hardy-Z + Illinois,50,20260424_205325
125,278.25074352984194,10000.0,Hardy-Z + Illinois,50,20260424_205325
126,279.2292509277452,10000.0,Hardy-Z + Illinois,50,20260424_205325
127,282.46511476505214,10000.0,Hardy-Z + Illinois,50,20260424_205325
128,283.21118573323383,10000.0,Hardy-Z + Illinois,50,20260424_205325
129,284.83596398090475,10000.0,Hardy-Z + Illinois,50,20260424_205325
130,286.6674453630029,10000.0,Hardy-Z + Illinois,50,20260424_205325
131,287.9119205014222,10000.0,Hardy-Z + Illinois,50,20260424_205325
132,289.57985492921887,10000.0,Hardy-Z + Illinois,50,20260424_205325
133,291.84629132906736,10000.0,Hardy-Z + Illinois,50,20260424_205325
134,293.55843413935634,10000.0,Hardy-Z + Illinois,50,20260424_205325
135,294.9653696192656,10000.0,Hardy-Z + Illinois,50,20260424_205325
136,295.5732548789583,10000.0,Hardy-Z + Illinois,50,20260424_205325
137,297.97927706194344,10000.0,Hardy-Z + Illinois,50,20260424_205325
138,299.84032605372136,10000.0,Hardy-Z + Illinois,50,20260424_205325
139,301.64932546219416,10000.0,Hardy-Z + Illinois,50,20260424_205325
140,302.69674958960695,10000.0,Hardy-Z + Illinois,50,20260424_205325
141,304.8643713408573,10000.0,Hardy-Z + Illinois,50,20260424_205325
142,305.7289126020368,10000.0,Hardy-Z + Illinois,50,20260424_205325
143,307.21949612817,10000.0,Hardy-Z + Illinois,50,20260424_205325
144,310.1094631467019,10000.0,Hardy-Z + Illinois,50,20260424_205325
145,311.165141530356,10000.0,Hardy-Z + Illinois,50,20260424_205325
146,312.42780118060085,10000.0,Hardy-Z + Illinois,50,20260424_205325
147,313.98528573115897,10000.0,Hardy-Z + Illinois,50,20260424_205325
148,315.47561608947575,10000.0,Hardy-Z + Illinois,50,20260424_205325
149,317.73480594237014,10000.0,Hardy-Z + Illinois,50,20260424_205325
150,318.8531042563166,10000.0,Hardy-Z + Illinois,50,20260424_205325
151,321.16013430911363,10000.0,Hardy-Z + Illinois,50,20260424_205325
152,322.1445586724829,10000.0,Hardy-Z + Illinois,50,20260424_205325
153,323.4669695575121,10000.0,Hardy-Z + Illinois,50,20260424_205325
154,324.86286605173956,10000.0,Hardy-Z + Illinois,50,20260424_205325
155,327.4439012619054,10000.0,Hardy-Z + Illinois,50,20260424_205325
