n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
1,14.134725141734695,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
2,21.022039638771556,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
3,25.01085758014569,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
4,30.424876125859512,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
5,32.93506158773919,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
6,37.586178158825675,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
7,40.9187190121475,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
8,43.327073280915,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
9,48.00515088116716,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
10,49.7738324776723,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
11,52.970321477714464,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
12,56.44624769706339,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
13,59.34704400260235,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
14,60.83177852460981,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
15,65.1125440480816,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
16,67.07981052949417,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
17,69.54640171117398,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
18,72.0671576744819,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
19,75.70469069908393,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
20,77.1448400688748,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
21,79.33737502024937,80.0,v4,illinois_mpfr_C_hybride,0.05,20260527_224915
