n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
1,21.022039638771556,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
2,25.01085758014569,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
3,30.424876125859516,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
4,32.93506158773919,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
5,37.586178158825675,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
6,40.9187190121475,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
7,43.327073280915,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
8,48.00515088116716,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
9,49.7738324776723,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
10,52.97032147771446,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
11,56.446247697063434,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
12,59.34704400260235,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
13,60.83177852460981,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
14,65.11254404808162,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
15,67.07981052949417,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
16,69.54640171117389,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
17,72.0671576744819,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
18,75.70469069908394,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
19,77.14484006887481,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
20,79.33737502024937,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
21,82.91038085408603,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
22,84.73549298051705,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
23,87.42527461312523,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
24,88.80911120763447,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
25,92.49189927055848,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
26,94.65134404051989,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
27,95.87063422824531,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
28,98.83119421819369,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
29,101.31785100573138,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
30,103.72553804047834,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
31,105.44662305232609,10000.0,RS-detection + Illinois-affinage,4,35,20260516_230419
