n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
1,14.134725141734695,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
2,21.022039638771556,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
3,25.01085758014569,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
4,30.424876125859512,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
5,32.935061587739085,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
6,37.58617815882567,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
7,40.9187190121475,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
8,43.32707328091489,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
9,48.00515088116716,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
10,49.7738324776723,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
11,52.97032147771446,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
12,56.44624769706339,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
13,59.34704400260235,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
14,60.83177852460981,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
15,65.1125440480816,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
16,67.0798105294938,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
17,69.54640171117398,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
18,72.06715767448189,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
19,75.70469069908397,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
20,77.14484006887481,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
21,79.33737502024915,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
22,82.91038085408603,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
23,84.73549298051705,10000.0,RS-detection + Illinois-affinage,4,35,20260510_210550
