n,imaginary_part,computed_at
93,233.6934041789643,2026-04-17T19:48:13.931859
94,236.52422966574335,2026-04-17T19:48:13.931859
95,239.5554775732476,2026-04-17T19:48:13.931859
96,241.04915779613881,2026-04-17T19:48:13.931859
97,244.07089849700193,2026-04-17T19:48:13.931859
98,247.13699007489674,2026-04-17T19:48:13.931859
99,248.10199006021904,2026-04-17T19:48:13.931859
100,249.5736896446807,2026-04-17T19:48:13.931859
101,251.01494779501976,2026-04-17T19:48:13.931859
102,253.06998674803336,2026-04-17T19:48:13.931859
103,255.3062564548934,2026-04-17T19:48:13.931859
104,256.3807136944393,2026-04-17T19:48:13.931859
105,258.6104394915417,2026-04-17T19:48:13.931859
106,259.87440698974757,2026-04-17T19:48:13.931859
107,260.80508450464356,2026-04-17T19:48:13.931859
108,263.5738939049568,2026-04-17T19:48:13.931859
109,265.5578518389643,2026-04-17T19:48:13.931859
110,267.9219150829053,2026-04-17T19:48:13.931859
111,271.4940556417152,2026-04-17T19:48:13.931859
112,273.4596091884125,2026-04-17T19:48:13.931859
113,275.5874926493445,2026-04-17T19:48:13.931859
114,276.4520495031904,2026-04-17T19:48:13.931859
115,278.2507435298472,2026-04-17T19:48:13.931859
116,279.2292509277301,2026-04-17T19:48:13.931859
117,282.46511476514434,2026-04-17T19:48:13.931859
118,284.83596398094295,2026-04-17T19:48:13.931859
119,286.6674453630079,2026-04-17T19:48:13.931859
120,287.91192050138187,2026-04-17T19:48:13.931859
121,289.57985492916515,2026-04-17T19:48:13.931859
122,291.84629132905764,2026-04-17T19:48:13.931859
123,293.55843413928346,2026-04-17T19:48:13.931859
124,294.9653696193345,2026-04-17T19:48:13.931859
125,295.5732548789108,2026-04-17T19:48:13.931859
126,297.9792770619497,2026-04-17T19:48:13.931859
127,299.840326053742,2026-04-17T19:48:13.931859
128,301.6493254621514,2026-04-17T19:48:13.931859
129,302.6967495896857,2026-04-17T19:48:13.931859
130,304.8643713408158,2026-04-17T19:48:13.931859
131,305.72891260208667,2026-04-17T19:48:13.931859
132,307.2194961282438,2026-04-17T19:48:13.931859
133,310.1094631466103,2026-04-17T19:48:13.931859
134,311.16514153043033,2026-04-17T19:48:13.931859
135,312.4278011805403,2026-04-17T19:48:13.931859
136,313.9852857311285,2026-04-17T19:48:13.931859
137,315.47561608953725,2026-04-17T19:48:13.931859
138,317.7348059424237,2026-04-17T19:48:13.931859
139,318.8531042563769,2026-04-17T19:48:13.931859
140,321.1601343090691,2026-04-17T19:48:13.931859
141,322.14455867251854,2026-04-17T19:48:13.931859
142,323.4669695575772,2026-04-17T19:48:13.931859
143,324.86286605177986,2026-04-17T19:48:13.931859
144,327.44390126197266,2026-04-17T19:48:13.931859
145,329.03307168046643,2026-04-17T19:48:13.931859
146,329.9532397282375,2026-04-17T19:48:13.931859
147,331.47446758272815,2026-04-17T19:48:13.931859
148,333.6453785249106,2026-04-17T19:48:13.931859
149,334.2113548331969,2026-04-17T19:48:13.931859
150,336.8418504283844,2026-04-17T19:48:13.931859
151,338.33999285074793,2026-04-17T19:48:13.931859
152,339.85821672539174,2026-04-17T19:48:13.931859
153,341.0422611110934,2026-04-17T19:48:13.931859
154,342.05487751039675,2026-04-17T19:48:13.931859
155,344.6617029403435,2026-04-17T19:48:13.931859
156,346.34787056605427,2026-04-17T19:48:13.931859
157,347.2726775844686,2026-04-17T19:48:13.931859
158,349.3162608706502,2026-04-17T19:48:13.931859
159,350.40841934914886,2026-04-17T19:48:13.931859
160,351.8786490253288,2026-04-17T19:48:13.931859
161,353.48890048872005,2026-04-17T19:48:13.931859
162,356.01757497723526,2026-04-17T19:48:13.931859
163,357.15130225207065,2026-04-17T19:48:13.931859
164,357.9526851016226,2026-04-17T19:48:13.931859
165,359.7437549530662,2026-04-17T19:48:13.931859
166,361.2893616958658,2026-04-17T19:48:13.931859
167,363.3313305788815,2026-04-17T19:48:13.931859
168,364.73602411403834,2026-04-17T19:48:13.931859
169,366.2127102882749,2026-04-17T19:48:13.931859
170,367.9935754818062,2026-04-17T19:48:13.931859
171,368.96843809570794,2026-04-17T19:48:13.931859
172,370.05091921213716,2026-04-17T19:48:13.931859
173,373.0619283722877,2026-04-17T19:48:13.931859
174,375.82591276673435,2026-04-17T19:48:13.931859
175,376.3240922307766,2026-04-17T19:48:13.931859
176,379.87297534665015,2026-04-17T19:48:13.931859
177,381.4844686171222,2026-04-17T19:48:13.931859
178,383.44352944960826,2026-04-17T19:48:13.931859
179,384.9561168147441,2026-04-17T19:48:13.931859
180,385.86130084602223,2026-04-17T19:48:13.931859
181,387.2228902222784,2026-04-17T19:48:13.931859
182,391.45608356354944,2026-04-17T19:48:13.931859
183,393.42774384452264,2026-04-17T19:48:13.931859
184,395.5828700108668,2026-04-17T19:48:13.931859
185,396.38185422255026,2026-04-17T19:48:13.931859
186,397.9187362095561,2026-04-17T19:48:13.931859
187,399.9851198761017,2026-04-17T19:48:13.931859
188,401.8392286004727,2026-04-17T19:48:13.931859
