n,imaginary_part,computed_at
108,263.5738939049568,2026-04-24T18:30:26.321060
109,265.5578518389643,2026-04-24T18:30:26.321060
110,267.9219150829053,2026-04-24T18:30:26.321060
111,271.4940556417152,2026-04-24T18:30:26.321060
112,273.4596091884125,2026-04-24T18:30:26.321060
113,275.5874926493445,2026-04-24T18:30:26.321060
114,276.4520495031904,2026-04-24T18:30:26.321060
115,278.2507435298472,2026-04-24T18:30:26.321060
116,279.2292509277301,2026-04-24T18:30:26.321060
117,282.46511476514434,2026-04-24T18:30:26.321060
118,284.83596398094295,2026-04-24T18:30:26.321060
119,286.6674453630079,2026-04-24T18:30:26.321060
120,287.91192050138187,2026-04-24T18:30:26.321060
121,289.57985492916515,2026-04-24T18:30:26.321060
122,291.84629132905764,2026-04-24T18:30:26.321060
123,293.55843413928346,2026-04-24T18:30:26.321060
124,294.9653696193345,2026-04-24T18:30:26.321060
125,295.5732548789108,2026-04-24T18:30:26.321060
126,297.9792770619497,2026-04-24T18:30:26.321060
127,299.840326053742,2026-04-24T18:30:26.321060
128,301.6493254621514,2026-04-24T18:30:26.321060
129,302.6967495896857,2026-04-24T18:30:26.321060
130,304.8643713408158,2026-04-24T18:30:26.321060
131,305.72891260208667,2026-04-24T18:30:26.321060
132,307.2194961282438,2026-04-24T18:30:26.321060
133,310.1094631466103,2026-04-24T18:30:26.321060
134,311.16514153043033,2026-04-24T18:30:26.321060
135,312.4278011805403,2026-04-24T18:30:26.321060
136,313.9852857311285,2026-04-24T18:30:26.321060
137,315.47561608953725,2026-04-24T18:30:26.321060
138,317.7348059424237,2026-04-24T18:30:26.321060
139,318.8531042563769,2026-04-24T18:30:26.321060
140,321.1601343090691,2026-04-24T18:30:26.321060
141,322.14455867251854,2026-04-24T18:30:26.321060
142,323.4669695575772,2026-04-24T18:30:26.321060
143,324.86286605177986,2026-04-24T18:30:26.321060
144,327.44390126197266,2026-04-24T18:30:26.321060
145,329.03307168046643,2026-04-24T18:30:26.321060
146,329.9532397282375,2026-04-24T18:30:26.321060
147,331.47446758272815,2026-04-24T18:30:26.321060
148,333.6453785249106,2026-04-24T18:30:26.321060
149,334.2113548331969,2026-04-24T18:30:26.321060
150,336.8418504283844,2026-04-24T18:30:26.321060
151,338.33999285074793,2026-04-24T18:30:26.321060
152,339.85821672539174,2026-04-24T18:30:26.321060
153,341.0422611110934,2026-04-24T18:30:26.321060
154,342.05487751039675,2026-04-24T18:30:26.321060
155,344.6617029403435,2026-04-24T18:30:26.321060
156,346.34787056605427,2026-04-24T18:30:26.321060
157,347.2726775844686,2026-04-24T18:30:26.321060
158,349.3162608706502,2026-04-24T18:30:26.321060
159,350.40841934914886,2026-04-24T18:30:26.321060
160,351.8786490253288,2026-04-24T18:30:26.321060
161,353.48890048872005,2026-04-24T18:30:26.321060
162,356.01757497723526,2026-04-24T18:30:26.321060
163,357.15130225207065,2026-04-24T18:30:26.321060
164,357.9526851016226,2026-04-24T18:30:26.321060
165,359.7437549530662,2026-04-24T18:30:26.321060
166,361.2893616958658,2026-04-24T18:30:26.321060
167,363.3313305788815,2026-04-24T18:30:26.321060
168,364.73602411403834,2026-04-24T18:30:26.321060
169,366.2127102882749,2026-04-24T18:30:26.321060
170,367.9935754818062,2026-04-24T18:30:26.321060
171,368.96843809570794,2026-04-24T18:30:26.321060
172,370.05091921213716,2026-04-24T18:30:26.321060
173,373.0619283722877,2026-04-24T18:30:26.321060
174,375.82591276673435,2026-04-24T18:30:26.321060
175,376.3240922307766,2026-04-24T18:30:26.321060
176,379.87297534665015,2026-04-24T18:30:26.321060
177,381.4844686171222,2026-04-24T18:30:26.321060
178,383.44352944960826,2026-04-24T18:30:26.321060
179,384.9561168147441,2026-04-24T18:30:26.321060
180,385.86130084602223,2026-04-24T18:30:26.321060
181,387.2228902222784,2026-04-24T18:30:26.321060
182,391.45608356354944,2026-04-24T18:30:26.321060
183,393.42774384452264,2026-04-24T18:30:26.321060
184,395.5828700108668,2026-04-24T18:30:26.321060
185,396.38185422255026,2026-04-24T18:30:26.321060
186,397.9187362095561,2026-04-24T18:30:26.321060
187,399.9851198761017,2026-04-24T18:30:26.321060
188,401.8392286004727,2026-04-24T18:30:26.321060
189,404.23644180020796,2026-04-24T18:30:26.321060
190,405.1343874598158,2026-04-24T18:30:26.321060
191,408.9472455023101,2026-04-24T18:30:26.321060
192,410.5138691934074,2026-04-24T18:30:26.321060
193,411.9722678041337,2026-04-24T18:30:26.321060
194,413.26273607036785,2026-04-24T18:30:26.321060
195,415.0188097549861,2026-04-24T18:30:26.321060
196,415.4552149964756,2026-04-24T18:30:26.321060
197,419.86136481820506,2026-04-24T18:30:26.321060
198,420.64382762520495,2026-04-24T18:30:26.321060
199,422.0767100589625,2026-04-24T18:30:26.321060
200,423.7165796274598,2026-04-24T18:30:26.321060
