n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
1,14.134725141734695,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
2,21.022039638771556,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
3,25.01085758014569,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
4,30.424876125859512,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
5,32.93506158773919,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
6,37.586178158825675,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
7,40.9187190121475,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
8,43.327073280915,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
9,48.00515088116716,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
10,49.7738324776723,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
11,52.970321477714464,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
12,56.44624769706339,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
13,59.34704400260235,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
14,60.83177852460981,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
15,65.1125440480816,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
16,67.07981052949417,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
17,69.54640171117398,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
18,72.0671576744819,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
19,75.70469069908393,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
20,77.1448400688748,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
21,79.33737502024937,80.0,v4,illinois_mpfr_C_hybride,0.05,20260524_184127
