n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
1,14.134725141734618,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
2,21.02203963877156,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
3,25.01085758014548,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
4,30.424876125859516,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
5,32.93506158773919,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
6,37.58617815882568,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
7,40.918719012147584,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
8,43.327073280914995,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
9,48.00515088116716,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
10,49.7738324776723,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
11,52.97032147771443,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
12,56.44624769706339,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
13,59.34704400260235,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
14,60.83177852460977,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
15,65.1125440480816,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
16,67.07981052949415,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
17,69.54640171117389,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
18,72.0671576744819,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
19,75.70469069908394,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
20,77.14484006887481,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
21,79.33737502024937,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
22,82.91038085408603,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
23,84.73549298051705,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
24,87.42527461312523,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
25,88.80911120763446,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
26,92.49189927055849,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
27,94.65134404051989,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
28,95.8706342282453,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
29,98.83119421819369,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
30,101.31785100573141,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
31,103.72553804047834,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
32,105.44662305232606,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
33,107.16861118427641,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
34,111.02953554316967,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
35,111.87465917699261,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
36,114.32022091545271,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
37,116.22668032085755,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
38,118.79078286597621,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
39,121.37012500242065,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
40,122.94682929355278,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
41,124.25681855434566,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
42,127.5166838795965,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
43,129.57870419995604,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
44,131.08768853093267,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
45,133.49773720299763,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
46,134.7565097533738,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
47,138.11604205453344,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
48,139.7362089521214,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
49,141.12370740402113,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
50,143.11184580762063,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
51,146.00098248676554,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
52,147.42276534255961,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
53,150.05352042078488,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
54,150.92525761224096,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
55,153.0246938111989,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
56,156.11290929423785,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
57,157.59759181759406,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
58,158.84998817142048,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
59,161.18896413759603,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
60,163.030709687182,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
61,165.5370691879004,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
62,167.1844399781745,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
63,169.09451541556882,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
64,169.9119764794117,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
65,173.41153651959155,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
66,174.75419152336573,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
67,176.44143429771043,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
68,178.37740777609997,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
69,179.91648402025697,1000.0,RS-detection + Illinois-affinage,4,35,20260511_212709
