n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
78,241.04915779621658,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
79,242.82327193422262,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
80,244.07089849707796,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
81,249.5736896447072,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
82,251.01494779501598,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
83,253.06998674799948,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
84,258.6104394915314,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
85,263.57389390487015,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
86,267.92191508282406,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
87,269.9704490239976,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
88,271.49405564164505,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
89,273.4596091884033,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
90,275.5874926493438,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
91,276.45204950313297,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
92,284.83596398090475,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
93,286.6674453630029,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
94,287.9119205014221,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
95,289.5798549292188,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
96,291.8462913290674,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
97,293.5584341393563,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
98,297.9792770619434,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
99,299.8403260537213,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
100,301.64932546219416,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
101,302.69674958960695,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
102,307.21949612817,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
103,312.4278011806008,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
104,313.9852857311589,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
105,315.47561608947575,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
106,321.1601343091136,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
107,322.14455867248296,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
