n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
71,184.8744678483875,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
72,185.59878367770747,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
73,187.22892258350186,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
74,189.41615865601693,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
75,192.02665636071384,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
76,193.0797266038457,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
77,195.26539667952923,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
78,196.87648184095832,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
79,198.0153096762519,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
80,201.2647519437038,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
81,202.4935945141405,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
82,204.18967180310455,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
83,205.3946972021633,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
84,207.90625888780622,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
85,209.57650971685626,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
86,211.6908625953653,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
87,213.34791935971268,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
88,214.54704478349143,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
89,216.1695385082637,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
90,219.0675963490214,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
91,220.714918839314,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
92,221.43070555469328,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
93,224.00700025460432,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
94,224.9833246695823,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
95,227.4214442796793,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
