n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
74,189.41615865601693,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
75,192.0266563607138,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
76,193.0797266038457,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
77,195.26539667952923,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
78,196.87648184095832,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
79,198.01530967625192,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
80,201.2647519437038,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
81,202.49359451414054,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
82,204.18967180310455,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
83,205.3946972021633,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
84,207.90625888780622,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
85,209.57650971685626,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
86,211.6908625953653,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
87,213.34791935971268,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
88,214.54704478349143,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
89,216.1695385082637,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
90,219.0675963490214,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
91,220.714918839314,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
92,221.43070555469333,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
93,224.00700025460432,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
94,224.9833246695823,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
95,227.4214442796793,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
96,229.33741330552536,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
97,231.25018870049917,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
98,231.98723525318024,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
99,233.6934041789083,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
100,236.5242296658162,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
101,237.7698204809252,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
102,239.55547757332764,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
103,241.04915779621658,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
104,242.8232719342226,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
105,244.07089849707816,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
106,247.1369900748975,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
107,248.10199006014847,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
108,249.5736896447072,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
109,251.014947795016,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
110,253.06998674799948,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
111,255.30625645491403,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
112,256.38071369443446,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
113,258.6104394915314,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
114,259.874406989678,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
115,260.8050845045969,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
116,263.57389390487015,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
117,265.55785183887633,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
118,266.6149737815011,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
119,267.92191508282406,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
120,269.9704490239976,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
121,271.494055641645,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
122,273.4596091884033,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
123,275.58749264934386,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
124,276.4520495031329,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
125,278.25074352984194,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
126,279.22925092774517,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
127,282.4651147650521,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
